4967,4482,5316,5664,3458,7234,
5963,6114,4384,2767,5567,7248,
5194,3875,7289,3234,4409,6065,
5056,4855,7073,5256,288,6090,
5473,4325,858,6428,6002,7256,
904,5470,6600,2771,2474,4004,
216,5069,6114,244,1918,3875,
288,4855,7248,5316,6065,5567,
2474,7256,5056,7289,4409,904,
5963,2767,5664,3234,4325,7073,
6600,6428,6090,5473,5470,1918,
5194,2771,6002,216,7234,244,
4384,5256,4967,858,4004,5069,
3458,2474,3875,4482,7073,288,
6600,5664,3234,5194,216,5963,
4384,6065,7256,7234,5567,1918,
5069,4482,5473,2767,5056,904,
244,6114,6090,5256,4004,7289,
2771,7248,6428,3458,6002,5316,
4967,4409,858,4855,5470,4325,
2767,6065,3875,4384,6600,2474,
5316,288,1918,904,244,7073,
5056,4967,5963,6090,5470,6002,
4409,4325,5194,4855,5567,4482,
7248,4004,5664,6428,7234,5256,
5473,216,2771,6114,858,7289,
5069,3234,5470,3458,7256,5567,
904,6428,4004,5963,3875,4855,
7289,216,6002,7073,5194,4384,
244,5473,6600,4325,5664,4967,
6114,7248,3458,858,5056,6065,
2474,7234,3234,5316,5256,5069,
4482,6090,4409,7256,2771,2767,
1918,4004,5056,288,5664,5194,
7073,3458,6600,7234,5316,6114,
4325,7248,6002,4409,4384,5069,
5963,244,5470,2771,6065,5256,
6090,858,5567,2474,1918,4482,
2767,3234,7289,6428,4855,5473,
3875,904,288,216,4967,7256,
6002,858,7073,5056,5567,6600,
1918,2771,4325,5194,2474,5256,
3875,7234,5069,5473,5963,6090,
6428,288,244,7248,4482,3234,
4855,4384,216,5470,4967,6114,
3458,2767,4409,5664,904,6065,
5316,7289,2771,4004,7256,4482,
5470,7073,7234,3875,5473,7248,
6065,5963,6428,4409,5056,216,
6090,7289,3458,7256,244,5664,
4004,5316,5194,5069,2767,4325,
5256,904,4855,6002,3234,4384,
5567,2474,6114,6600,288,4967,
1918,5194,2767,858,5963,3458,
7256,7073,5473,4004,4855,244,
2771,6090,7234,4325,4384,288,
7248,5056,5316,4967,7289,1918,
6065,216,2474,5567,5069,6428,
5664,4482,5470,6002,6114,904,
858,5256,3234,3875,6600,4409,
5069,3458,5194,7289,7248,2474,
6065,6114,288,4325,904,5963,
6002,5664,4855,5056,6090,3875,
5256,4482,2767,5470,5316,216,
5567,244,4409,4384,5473,4004,
7073,6428,1918,3234,4967,2771,
7234,7256,904,6600,858,2767,
5567,5256,5470,288,7289,5473,
6065,6002,4967,3234,6090,4004,
4855,5069,6600,4482,2771,3458,
4409,5963,2474,244,5316,858,
4325,3875,7256,7248,1918,216,
7234,4384,5056,6114,5194,6428,
5664,858,2771,7073,5069,6065,
4967,2767,244,7289,6600,5963,
904,5473,5567,6090,5194,7248,
4004,4325,216,5470,3458,5056,
7256,3234,5316,6114,3875,5256,
288,6002,7234,1918,4409,4855,
4482,6428,4384,2474,7073,5664,
